time,event,note
2026-08-11T21:57:51.135,ATTACHED,PID=16972; headless=true
2026-08-11T21:58:03.452,BASELINE,regions=820; seconds=0.844
2026-08-11T22:03:25.593,MONSTER_SELECTED_DIFF,changed_u32=11427840; preview_saved=10000
2026-08-11T22:03:25.595,MONSTER_SELECTED,regions=858; seconds=0.750
2026-08-11T22:07:03.899,MONSTER_DEAD_DIFF,changed_u32=12513881; preview_saved=10000
2026-08-11T22:07:03.900,MONSTER_DEAD,regions=866; seconds=0.812
2026-08-11T22:08:48.040,NEW_MONSTER_DIFF,changed_u32=11251308; preview_saved=10000
2026-08-11T22:08:48.041,NEW_MONSTER,regions=895; seconds=0.968
2026-08-11T22:11:02.831,NEW_MONSTER_DIFF,changed_u32=11855056; preview_saved=10000
2026-08-11T22:11:02.835,NEW_MONSTER,regions=910; seconds=0.875
2026-08-11T22:12:32.180,MONSTER_DEAD_DIFF,changed_u32=11386966; preview_saved=10000
2026-08-11T22:12:32.181,MONSTER_DEAD,regions=863; seconds=1.000
